open,high,low,close,volume,spread,real_volume
90.54,90.57,90.28,90.39,5646,0,0
90.38,90.53,90.24,90.47,6487,0,0
90.48,90.58,90.33,90.42,8621,0,0
90.42,90.86,90.39,90.82,7611,0,0
90.83,91.16,90.83,91.13,7235,0,0
91.13,91.22,91.09,91.14,4681,0,0
91.14,91.46,90.99,91.36,8790,0,0
91.37,91.4,91.21,91.26,7414,0,0
91.24,91.32,91.12,91.32,9037,0,0
91.33,91.63,91.3,91.58,8581,0,0
91.59,91.85,91.59,91.71,7737,0,0
91.72,91.85,91.72,91.81,4066,0,0
91.8,91.82,91.55,91.71,3248,0,0
91.71,91.8,91.61,91.7,4269,0,0
91.7,91.86,91.62,91.8,7526,0,0
91.8,91.85,91.61,91.78,6817,0,0
91.77,91.77,91.31,91.56,8194,0,0
91.56,91.71,91.56,91.57,3774,0,0
91.58,91.73,91.49,91.52,5311,0,0
91.52,91.54,91.2,91.21,5695,0,0
91.21,91.34,91.12,91.22,6866,0,0
91.22,91.72,91.17,91.7,6721,0,0
91.7,91.76,91.61,91.63,3611,0,0
91.57,91.75,91.42,91.46,5392,0,0
91.45,91.57,91.45,91.49,4383,0,0
91.5,91.58,91.44,91.53,6026,0,0
91.53,91.55,91.48,91.55,6090,0,0
91.55,91.65,91.51,91.55,5735,0,0
91.55,91.65,91.54,91.63,4226,0,0
91.63,91.75,91.62,91.68,6551,0,0
91.68,91.73,91.66,91.73,5087,0,0
91.73,91.74,91.51,91.72,7993,0,0
91.72,91.78,91.62,91.73,7506,0,0
91.73,92.05,91.7,91.84,8459,0,0
91.84,92.04,91.81,91.98,5463,0,0
91.98,92.24,91.89,92.11,6426,0,0
92.12,92.24,91.97,92.1,6349,0,0
92.09,92.15,92.06,92.13,7459,0,0
92.13,92.54,92.12,92.49,8130,0,0
92.49,92.74,92.28,92.43,8826,0,0
92.43,92.49,92.33,92.42,3983,0,0
92.42,92.59,92.39,92.42,3874,0,0
92.41,92.42,91.9,92.08,4365,0,0
92.08,92.4,92.08,92.36,7042,0,0
92.36,92.74,92.26,92.73,8932,0,0
92.73,93.12,92.73,93.12,7450,0,0
92.92,93.05,92.69,92.87,9319,0,0
92.86,93.04,92.71,93.04,7050,0,0
93.03,93.19,92.71,92.93,11502,0,0
92.93,92.93,92.48,92.61,10182,0,0
92.61,92.69,92.19,92.61,9724,0,0
92.6,92.61,92.38,92.41,5512,0,0
92.4,92.52,92.11,92.23,8286,0,0
92.23,92.25,91.63,91.68,9417,0,0
91.68,92.1,91.68,91.92,10877,0,0
91.93,92.14,91.36,91.36,10199,0,0
91.35,91.64,91.24,91.57,9383,0,0
91.58,91.77,91.58,91.72,4662,0,0
91.72,91.94,91.51,91.78,8002,0,0
91.79,92.16,91.78,92.09,7029,0,0
92.1,92.49,92.02,92.32,10734,0,0
92.32,92.47,92.06,92.44,9478,0,0
92.45,92.73,92.32,92.54,9473,0,0
92.54,92.54,92.26,92.34,6193,0,0
92.34,92.45,92.2,92.29,7597,0,0
92.28,92.84,92.1,92.71,7475,0,0
92.72,92.96,92.55,92.91,11019,0,0
92.91,93.38,92.9,93.19,11730,0,0
93.2,93.31,93.08,93.13,8133,0,0
93.12,93.74,93.06,93.58,7036,0,0
93.58,93.64,93.13,93.28,9464,0,0
93.27,93.41,93.12,93.38,6995,0,0
93.39,93.42,92.83,93.25,8576,0,0
93.25,93.45,92.28,92.8,12386,0,0
92.8,93.23,92.45,92.52,10736,0,0
92.52,92.72,92.49,92.64,3987,0,0
92.57,92.57,92.22,92.24,7394,0,0
92.23,92.38,92.17,92.31,6035,0,0
92.32,92.55,91.99,92.48,8505,0,0
92.49,92.65,92.33,92.4,7864,0,0
92.39,92.44,91.8,91.96,9320,0,0
91.96,92.16,91.88,92.04,4522,0,0
92.04,92.4,91.81,92.09,8093,0,0
92.1,92.29,92.07,92.18,5972,0,0
92.18,92.21,91.63,91.63,9734,0,0
91.63,91.85,91.12,91.18,12870,0,0
91.18,91.28,90.73,90.91,10329,0,0
90.91,91.12,90.87,91.12,4743,0,0
91.12,91.33,90.9,91.04,7851,0,0
91.04,91.17,90.93,91.14,5819,0,0
91.15,91.47,91.09,91.34,9907,0,0
91.35,91.51,91.13,91.39,10153,0,0
91.4,91.54,91.19,91.36,10174,0,0
91.35,91.5,91.29,91.37,4430,0,0
91.37,91.66,91.28,91.65,6207,0,0
91.66,91.78,91.59,91.62,6298,0,0
91.61,92.03,91.58,91.95,8667,0,0
91.95,91.95,91.12,91.31,11133,0,0
91.31,91.38,90.84,90.91,11072,0,0
90.9,91.26,90.85,91.23,4777,0,0
91.24,91.3,90.92,91.07,8767,0,0
91.06,91.21,90.99,91.04,6189,0,0
91.04,91.05,90.65,90.71,10489,0,0
90.69,91.18,90.59,90.85,11833,0,0
90.86,90.99,90.7,90.85,9045,0,0
90.84,90.94,90.75,90.76,4243,0,0
90.9,90.98,90.71,90.77,7960,0,0
90.76,91.04,90.75,90.91,8343,0,0
90.91,91.04,90.81,90.81,8319,0,0
90.81,90.82,90.62,90.75,7136,0,0
90.74,90.82,90.67,90.71,5071,0,0
90.71,90.77,90.62,90.65,3715,0,0
90.65,90.75,90.5,90.58,8394,0,0
90.58,90.6,90.34,90.51,8689,0,0
90.5,90.79,90.31,90.79,12470,0,0
90.81,91.11,90.7,91.09,13089,0,0
91.09,91.25,90.98,91.05,9814,0,0
91.05,91.16,91.04,91.12,5425,0,0
91.12,91.24,91.06,91.23,9994,0,0
91.23,91.34,91.07,91.13,8895,0,0
91.13,91.13,90.78,90.85,12208,0,0
90.85,91.44,90.81,91.31,12862,0,0
91.31,91.32,91.11,91.23,9669,0,0
91.23,91.3,91.17,91.24,5168,0,0
91.25,91.54,91.18,91.41,9816,0,0
91.41,91.64,91.39,91.46,8094,0,0
91.47,91.75,91.45,91.71,10951,0,0
91.71,91.86,91.57,91.73,11746,0,0
91.73,91.76,90.11,90.27,16732,0,0
90.25,90.48,90.13,90.4,9079,0,0
90.41,90.46,89.78,89.98,14527,0,0
89.97,90.32,89.82,90.18,9994,0,0
90.18,90.54,90.15,90.27,12994,0,0
90.28,90.31,89.91,90.28,14409,0,0
90.28,90.28,89.81,89.94,12421,0,0
89.94,89.96,89.81,89.82,6277,0,0
89.93,90.25,89.81,90.2,9354,0,0
90.2,90.27,90.04,90.27,6773,0,0
90.27,90.32,89.99,90.22,10223,0,0
90.22,90.31,90.12,90.15,9234,0,0
90.12,90.3,89.95,90.25,10665,0,0
90.26,90.3,90.18,90.24,5172,0,0
90.23,90.53,90.16,90.16,9416,0,0
90.16,90.38,89.55,90.04,13525,0,0
90.03,90.31,89.38,89.51,14246,0,0
89.51,89.74,89.48,89.66,11697,0,0
89.66,89.74,89.33,89.66,11710,0,0
89.66,89.71,89.58,89.62,5739,0,0
89.61,89.7,89.33,89.4,10702,0,0
89.4,89.49,89.13,89.22,9801,0,0
89.21,89.59,89.15,89.48,12549,0,0
89.49,89.64,89.31,89.35,11564,0,0
89.33,89.53,89.21,89.5,11175,0,0
89.52,90.07,89.39,89.97,9590,0,0
89.97,90.37,89.86,90.25,10502,0,0
90.26,90.36,90.14,90.25,8109,0,0
90.25,90.53,90.17,90.25,12201,0,0
90.24,90.29,89.93,90.16,11248,0,0
90.17,90.2,89.63,89.87,12248,0,0
89.87,89.94,89.8,89.87,6723,0,0
89.88,90.03,89.58,89.95,11056,0,0
89.95,90.01,89.8,89.95,8292,0,0
89.95,90.3,89.94,90.26,10919,0,0
90.26,90.9,90.16,90.8,12925,0,0
90.81,90.81,90.23,90.37,12306,0,0
90.36,90.41,90.22,90.25,4865,0,0
90.19,90.36,90.03,90.09,8497,0,0
90.08,90.25,89.98,90.17,7970,0,0
90.18,90.45,90.16,90.24,10262,0,0
90.24,90.45,90.14,90.42,9922,0,0
90.42,90.92,90.42,90.72,11272,0,0
90.73,90.73,90.58,90.7,5690,0,0
90.69,90.89,90.67,90.84,6945,0,0
90.85,90.89,90.59,90.74,8286,0,0
90.73,90.78,90.47,90.78,11372,0,0
90.78,90.8,90.3,90.31,10664,0,0
90.3,90.44,90.25,90.36,9283,0,0
90.36,90.42,90.28,90.36,5204,0,0
90.36,90.54,90.29,90.35,7119,0,0
90.35,90.51,90.35,90.43,5298,0,0
90.43,90.46,90.07,90.44,9821,0,0
90.44,90.97,90.43,90.93,10758,0,0
90.94,91.26,90.83,91.14,10602,0,0
91.14,91.15,90.92,90.96,5277,0,0
90.96,91.04,90.79,90.85,5598,0,0
90.84,91.02,90.84,90.98,4879,0,0
90.98,91.05,90.58,90.66,9205,0,0
90.66,90.86,90.44,90.52,10357,0,0
90.52,90.56,88.56,89.02,15516,0,0
89.03,89.22,88.86,89.11,7681,0,0
89.11,89.75,89.11,89.64,7741,0,0
89.65,89.75,89.51,89.66,7676,0,0
89.66,89.76,89.33,89.46,13525,0,0
89.45,89.86,89.11,89.4,14147,0,0
89.4,89.47,88.82,89.02,13894,0,0
89.03,89.42,89.02,89.23,7124,0,0
89.14,89.43,89.13,89.26,7835,0,0
89.27,89.38,89.23,89.24,7151,0,0
89.24,89.55,89.23,89.44,9895,0,0
89.44,89.44,89.16,89.28,10223,0,0
89.28,89.37,89.21,89.29,9132,0,0
89.3,89.36,89.16,89.27,4869,0,0
89.26,89.47,89.2,89.37,6380,0,0
89.37,89.59,89.35,89.53,6471,0,0
89.54,89.71,89.48,89.6,9593,0,0
89.61,89.79,89.41,89.42,10794,0,0
89.41,89.73,89.31,89.68,13856,0,0
89.69,89.91,89.54,89.79,6112,0,0
89.79,90.0,89.72,89.77,7228,0,0
89.77,89.8,89.53,89.75,7364,0,0
89.74,89.79,89.56,89.63,9817,0,0
89.62,89.72,89.23,89.53,10630,0,0
89.53,90.04,89.53,89.91,11931,0,0
89.9,90.02,89.86,89.94,4710,0,0
89.95,90.12,89.89,89.9,4893,0,0
89.9,89.97,89.81,89.97,4215,0,0
89.97,90.02,89.79,89.79,6133,0,0
89.79,89.85,89.57,89.72,12164,0,0
89.72,89.87,89.67,89.68,9762,0,0
89.67,89.76,89.65,89.7,4787,0,0
89.71,89.83,89.59,89.69,5672,0,0
89.68,89.79,89.58,89.74,4788,0,0
89.74,90.32,89.59,89.91,12806,0,0
89.91,90.39,89.87,89.95,11804,0,0
89.96,90.1,89.84,89.97,9266,0,0
89.97,90.03,89.91,89.94,3259,0,0
90.01,90.22,89.98,90.12,5091,0,0
90.12,90.19,90.11,90.12,4354,0,0
90.12,90.18,89.93,90.0,6263,0,0
90.0,90.01,89.9,89.99,4765,0,0
89.99,90.03,89.91,89.95,4691,0,0
89.95,90.06,89.92,90.02,3804,0,0
90.03,90.05,89.91,89.94,5911,0,0
89.93,89.97,89.7,89.81,6630,0,0
89.81,90.0,89.75,89.97,8992,0,0
89.97,90.16,89.82,90.06,10361,0,0
90.06,90.49,90.05,90.12,11804,0,0
90.13,90.21,90.03,90.19,5869,0,0
90.19,90.31,90.18,90.3,6790,0,0
90.3,90.35,90.27,90.33,5640,0,0
90.33,90.62,90.15,90.52,11645,0,0
90.52,91.09,90.5,91.02,12469,0,0
91.03,91.14,90.68,90.96,11790,0,0
90.95,91.36,90.95,91.15,7844,0,0
91.16,91.19,90.88,90.95,8564,0,0
90.95,90.99,90.83,90.95,6730,0,0
90.95,91.03,90.72,90.84,11229,0,0
90.84,90.95,90.57,90.73,11451,0,0
90.72,91.47,90.72,91.2,12410,0,0
91.2,92.03,91.19,92.0,9939,0,0
92.0,92.07,91.72,91.78,10645,0,0
91.77,91.92,91.67,91.88,6944,0,0
91.89,92.04,91.69,91.84,9909,0,0
91.84,91.97,91.61,91.72,9105,0,0
91.71,92.13,91.7,91.75,9152,0,0
91.75,91.8,91.49,91.5,3761,0,0
91.63,91.88,91.59,91.62,5866,0,0
91.61,91.7,91.58,91.59,4160,0,0
91.59,91.65,91.25,91.27,8104,0,0
91.26,91.46,91.17,91.31,8327,0,0
91.32,91.32,91.02,91.2,7994,0,0
91.19,91.2,91.08,91.19,3651,0,0
91.19,91.28,91.02,91.04,4922,0,0
91.04,91.12,90.94,91.0,4918,0,0
90.99,91.0,90.85,90.97,9084,0,0
90.96,91.09,90.59,90.76,10344,0,0
90.75,90.75,89.92,90.0,11750,0,0
90.0,90.24,89.99,90.19,4654,0,0
90.2,90.28,90.09,90.19,5245,0,0
90.18,90.24,90.17,90.2,3929,0,0
90.21,90.34,89.97,90.12,8656,0,0
90.12,90.25,89.94,90.21,9614,0,0
90.2,90.25,89.76,90.19,11132,0,0
90.19,90.22,90.11,90.18,3824,0,0
90.17,90.3,89.45,89.54,7551,0,0
89.54,89.72,89.33,89.42,8027,0,0
89.41,89.53,89.21,89.29,9995,0,0
89.29,89.5,88.94,89.02,10267,0,0
89.01,89.09,88.8,89.01,10116,0,0
89.01,89.18,88.99,89.14,5578,0,0
89.14,89.48,89.13,89.3,6802,0,0
89.31,89.39,89.22,89.29,6445,0,0
89.29,89.39,89.18,89.25,9436,0,0
89.25,89.3,89.02,89.09,9322,0,0
89.07,89.07,88.74,88.97,10137,0,0
88.96,88.96,88.79,88.95,3393,0,0
88.92,89.19,88.81,89.16,5868,0,0
89.15,89.25,89.04,89.19,4648,0,0
89.2,89.35,89.18,89.21,8279,0,0
89.22,89.35,89.11,89.17,9164,0,0
89.14,89.46,88.98,89.15,9253,0,0
89.16,89.18,89.01,89.16,4104,0,0
89.16,89.32,89.08,89.28,4496,0,0
89.28,89.36,89.21,89.32,4964,0,0
89.32,89.32,88.88,89.09,10333,0,0
89.09,89.23,88.98,89.08,10595,0,0
89.07,89.14,88.55,88.65,8929,0,0
88.64,88.84,88.6,88.75,5051,0,0
88.75,88.77,88.47,88.67,7079,0,0
88.66,88.89,88.65,88.87,5899,0,0
88.88,88.98,88.58,88.86,9731,0,0
88.86,88.86,88.62,88.73,9695,0,0
88.74,88.85,88.32,88.44,9497,0,0
88.43,88.5,88.36,88.48,4627,0,0
88.5,88.61,88.4,88.48,5913,0,0
88.48,88.49,88.13,88.19,6602,0,0
88.18,88.55,88.16,88.4,8888,0,0
88.4,89.2,88.29,89.12,10423,0,0
89.12,89.24,88.93,89.18,9806,0,0
89.19,89.19,88.97,89.11,4286,0,0
89.11,89.34,89.11,89.2,5213,0,0
89.2,89.36,89.17,89.31,4215,0,0
89.31,89.42,89.19,89.28,7263,0,0
89.28,90.31,89.28,90.3,10458,0,0
90.3,90.57,90.24,90.42,9358,0,0
90.43,90.44,90.25,90.27,3890,0,0
90.41,90.67,90.34,90.35,2936,0,0
90.35,90.44,90.35,90.41,4093,0,0
90.42,90.48,90.15,90.35,5562,0,0
90.34,90.43,90.28,90.32,4860,0,0
90.31,90.47,90.22,90.32,4868,0,0
90.34,90.36,90.24,90.28,2486,0,0
90.28,90.3,89.87,89.92,4687,0,0
89.91,90.05,89.89,89.92,4048,0,0
89.92,90.09,89.63,89.76,6615,0,0
89.76,89.88,89.7,89.84,5340,0,0
