open,high,low,close,volume,spread,real_volume
1.09753,1.09754,1.09678,1.09705,1673,0,0
1.09706,1.09795,1.097,1.09763,1764,0,0
1.09762,1.0977,1.09691,1.09715,2097,0,0
1.09714,1.09764,1.09683,1.09736,2267,0,0
1.09735,1.09737,1.09629,1.09662,960,0,0
1.09661,1.09702,1.09652,1.09692,650,0,0
1.09694,1.09832,1.09691,1.09822,2612,0,0
1.09823,1.09872,1.09811,1.09819,1703,0,0
1.09818,1.09843,1.09787,1.09793,3049,0,0
1.09792,1.09908,1.09774,1.09853,4045,0,0
1.09852,1.09908,1.0984,1.0988,1184,0,0
1.09879,1.09885,1.09858,1.09863,608,0,0
1.09864,1.09864,1.09825,1.09838,480,0,0
1.09837,1.09861,1.09814,1.09853,863,0,0
1.09852,1.10071,1.09806,1.1004,4101,0,0
1.10041,1.10169,1.10021,1.10141,4883,0,0
1.1014,1.10172,1.10097,1.10151,3296,0,0
1.10152,1.10311,1.10112,1.10279,3370,0,0
1.10278,1.10311,1.10234,1.10237,2798,0,0
1.10236,1.10314,1.1019,1.10216,3560,0,0
1.10215,1.10308,1.10155,1.10209,5160,0,0
1.10208,1.10256,1.10133,1.10168,5000,0,0
1.10167,1.10219,1.10094,1.10104,6898,0,0
1.10103,1.10157,1.09998,1.10151,5756,0,0
1.1015,1.10211,1.10108,1.1014,3902,0,0
1.10139,1.10198,1.10093,1.1013,2679,0,0
1.10129,1.10151,1.10029,1.10047,3042,0,0
1.10045,1.10071,1.10005,1.10068,1964,0,0
1.10066,1.10066,1.09995,1.10003,941,0,0
1.10004,1.10049,1.09996,1.10047,611,0,0
1.10048,1.10058,1.1003,1.10048,992,0,0
1.10049,1.10088,1.10035,1.10083,749,0,0
1.10082,1.10115,1.10024,1.10036,1365,0,0
1.10037,1.10139,1.10036,1.10136,1727,0,0
1.10137,1.10154,1.1013,1.10147,500,0,0
1.10148,1.10151,1.10126,1.10129,562,0,0
1.10128,1.1017,1.10124,1.10137,906,0,0
1.10136,1.10169,1.10118,1.10134,1003,0,0
1.10133,1.10203,1.10096,1.10156,2626,0,0
1.10155,1.10178,1.10065,1.10087,4046,0,0
1.10086,1.10134,1.09984,1.1007,5846,0,0
1.10071,1.1023,1.10049,1.10176,4838,0,0
1.10175,1.10375,1.10172,1.10327,5725,0,0
1.10326,1.10601,1.1032,1.10517,8849,0,0
1.10518,1.10539,1.10353,1.10432,5513,0,0
1.10433,1.10603,1.1041,1.10513,6447,0,0
1.10511,1.10544,1.1024,1.10324,7319,0,0
1.10323,1.10514,1.10317,1.10365,6411,0,0
1.10364,1.10491,1.10285,1.10481,4516,0,0
1.1048,1.10493,1.10392,1.10443,2679,0,0
1.10442,1.10448,1.10383,1.10405,1931,0,0
1.10404,1.10457,1.10336,1.10382,3437,0,0
1.10381,1.10381,1.10298,1.10323,1382,0,0
1.10309,1.10338,1.10277,1.10323,793,0,0
1.10325,1.10349,1.10268,1.10275,1192,0,0
1.10276,1.10288,1.10228,1.10258,978,0,0
1.10257,1.10295,1.10218,1.10254,1591,0,0
1.10255,1.10269,1.10222,1.10261,1542,0,0
1.1026,1.10266,1.10235,1.10256,914,0,0
1.10255,1.10289,1.10233,1.10289,905,0,0
1.10288,1.1033,1.10284,1.10286,695,0,0
1.10285,1.10311,1.10239,1.10277,1154,0,0
1.10278,1.10298,1.10103,1.10161,4379,0,0
1.1016,1.10279,1.10114,1.10157,3885,0,0
1.10156,1.10306,1.10134,1.10276,2308,0,0
1.10275,1.10367,1.10272,1.10353,3519,0,0
1.10352,1.10402,1.10268,1.10285,2177,0,0
1.10286,1.10289,1.10228,1.10249,1834,0,0
1.1025,1.10295,1.10218,1.1022,2107,0,0
1.10219,1.10262,1.10184,1.10227,2855,0,0
1.10226,1.10281,1.10173,1.10223,3320,0,0
1.10222,1.10247,1.10153,1.10241,2325,0,0
1.1024,1.10282,1.10208,1.10273,1887,0,0
1.10272,1.10282,1.10227,1.10235,875,0,0
1.10234,1.10302,1.10228,1.1028,871,0,0
1.10281,1.10292,1.10212,1.10228,820,0,0
1.10229,1.10236,1.10191,1.10236,700,0,0
1.10237,1.10254,1.10191,1.10211,2216,0,0
1.1021,1.10264,1.10206,1.10254,636,0,0
1.10253,1.10259,1.10225,1.10235,701,0,0
1.10236,1.10246,1.10192,1.10231,1125,0,0
1.1023,1.10299,1.10225,1.10277,1428,0,0
1.10276,1.1028,1.10231,1.10242,974,0,0
1.10243,1.10298,1.10241,1.10297,717,0,0
1.10298,1.10309,1.10245,1.10261,753,0,0
1.10262,1.10308,1.10244,1.10303,1177,0,0
1.10302,1.10437,1.10232,1.10369,5099,0,0
1.10368,1.10368,1.10103,1.10184,6343,0,0
1.10183,1.10281,1.10162,1.10244,3340,0,0
1.10245,1.10247,1.10042,1.10107,5177,0,0
1.10108,1.10178,1.10063,1.10134,2840,0,0
1.10135,1.10147,1.10001,1.10035,3831,0,0
1.10034,1.10071,1.09929,1.10028,3788,0,0
1.10029,1.10074,1.09889,1.09912,3586,0,0
1.09913,1.10421,1.09907,1.10322,10163,0,0
1.10323,1.10416,1.10282,1.10329,7262,0,0
1.1033,1.10341,1.10131,1.10202,3587,0,0
1.10203,1.10295,1.10145,1.10272,1989,0,0
1.10273,1.10334,1.1025,1.10334,1620,0,0
1.10333,1.10356,1.10282,1.10319,1286,0,0
1.10318,1.10328,1.10272,1.10278,764,0,0
1.1028,1.10319,1.10227,1.10274,1149,0,0
1.10275,1.10326,1.10275,1.1031,545,0,0
1.10311,1.10328,1.10298,1.10321,537,0,0
